"","V1","V2"
"out_B14.5.fq.gz.bam",-0.0264003786686404,-0.0170439859870243
"out_B15.5.fq.gz.bam",-0.0233391475661735,-0.0136548193073718
"out_B17.5.fq.gz.bam",-0.0113570641484638,-0.00759335488548695
"out_B20.fq.gz.bam",-0.000420034498919773,-0.0125004644462764
"out_B34.fq.gz.bam",0.0378683076220898,-0.028008837712683
"out_C14.5.fq.gz.bam",-0.0175530455785178,0.0165857306416009
"out_C15.5.fq.gz.bam",-0.0142526221581486,0.0183700042707111
"out_C17.5.fq.gz.bam",1.92928387993202e-05,0.0197184404380934
"out_C20.fq.gz.bam",0.00941280651943204,0.00976025480895943
"out_C34.fq.gz.bam",0.0460218856385426,0.0143670321794777
